,sales
951,3
952,7
953,9
954,5
955,4
956,3
957,15
958,11
959,13
960,18
961,65
962,12
963,1
964,7
965,1
966,11
967,57
968,1
969,88
970,25
971,14
972,8
973,3
974,27
975,2
976,5
977,24
978,2
979,8
980,11
981,41
982,20
983,4
984,11
985,61
986,39
987,3
988,5
989,45
990,6
991,3
992,31
993,2
994,8
995,16
996,9
997,9
998,2
999,11
1000,29
1001,45
1002,6
1003,16
1004,3
1005,11
1006,5
1007,1
1008,10
1009,15
1010,4
1011,18
1012,15
1013,30
1014,22
1015,28
1016,2
1017,16
1018,6
1019,32
1020,6
1021,2
1022,27
1023,24
1024,13
1025,2
1026,2
1027,17
1028,16
1029,2
1030,9
1031,32
1032,31
1033,4
1034,9
1035,90
1036,6
1037,131
1038,13
1039,5
1040,10
1041,5
1042,4
1043,15
1044,45
1045,45
1046,37
1047,5
1048,2
1049,146
1050,3
1051,25
1052,49
1053,42
1054,37
1055,11
1056,10
1057,27
1058,18
1059,3
1060,4
1061,27
1062,16
1063,2
1064,1
1065,64
1066,53
1067,5
1068,5
1069,22
1070,13
1071,15
1072,15
1073,21
1074,12
1075,11
1076,1
1077,8
1078,1
1079,6
1080,7
1081,20
1082,1
1083,10
1084,8
1085,6
1086,5
1087,8
1088,13
1089,30
1090,44
1091,7
1092,2
1093,52
1094,42
1095,1
1096,4
1097,34
1098,10
1099,12
1100,3
1101,5
1102,19
1103,3
1104,1
1105,273
1106,27
1107,30
1108,11
1109,11
1110,32
1111,11
1112,6
1113,15
1114,18
1115,52
1116,8
1117,21
1118,15
1119,11
1120,12
1121,24
1122,1
1123,3
1124,9
1125,62
1126,14
1127,22
1128,18
1129,7
1130,1
1131,4
1132,4
1133,9
1134,80
1135,5
1136,73
1137,17
1138,2
1139,17
1140,63
1141,4
1142,2
1143,2
1144,6
1145,15
1146,37
1147,5
1148,3
1149,3
1150,3
1151,12
1152,6
1153,8
1154,6
1155,7
1156,11
1157,7
1158,16
1159,2
1160,21
1161,14
1162,19
1163,11
1164,3
1165,10
1166,19
1167,9
1168,10
1169,12
1170,18
1171,5
1172,5
1173,1
1174,12
1175,5
1176,8
1177,23
1178,11
1179,11
1180,82
1181,4
1182,5
1183,16
1184,4
1185,23
1186,5
1187,17
1188,32
1189,9
1190,12
1191,5
1192,21
1193,14
1194,11
1195,60
1196,93
1197,18
1198,8
1199,3
1200,29
1201,1
1202,2
1203,7
1204,3
1205,22
1206,3
1207,22
1208,15
1209,29
1210,34
1211,17
1212,124
1213,2
1214,6
1215,8
1216,16
1217,23
1218,11
1219,31
1220,1
1221,2
1222,76
1223,2
1224,23
1225,2
1226,24
1227,51
1228,8
1229,2
1230,7
1231,8
1232,3
1233,6
1234,6
1235,10
1236,9
1237,9
1238,2
1239,3
1240,25
1241,60
1242,27
1243,2
1244,1
1245,12
1246,21
1247,7
1248,19
1249,19
1250,5
1251,5
1252,7
1253,5
1254,3
1255,7
1256,11
1257,27
1258,3
1259,8
1260,26
1261,7
1262,15
1263,25
1264,10
1265,12
1266,25
1267,12
1268,9
1269,1
1270,59
1271,7
1272,5
1273,12
1274,12
1275,5
1276,13
1277,17
1278,8
1279,7
1280,9
1281,1
1282,3
1283,12
1284,13
1285,9
1286,37
1287,16
1288,2
1289,14
1290,6
1291,36
1292,4
1293,20
1294,2
1295,14
1296,14
1297,6
1298,21
1299,73
1300,3
1301,6
1302,4
1303,73
1304,13
1305,4
1306,2
1307,20
1308,16
1309,19
1310,7
1311,58
1312,35
1313,103
1314,32
1315,2
1316,1
1317,15
1318,93
1319,2
1320,4
1321,15
1322,49
1323,12
1324,22
1325,7
1326,17
1327,38
1328,15
1329,12
1330,38
1331,19
1332,40
1333,2
1334,5
1335,41
1336,13
1337,7
1338,2
1339,25
1340,17
1341,18
1342,34
1343,11
1344,41
1345,53
1346,3
1347,108
1348,15
1349,11
1350,9
1351,14
1352,3
1353,2
1354,8
1355,44
1356,41
1357,15
1358,15
1359,21
1360,3
1361,16
1362,3
1363,11
1364,35
1365,5
1366,83
1367,10
1368,73
1369,10
1370,59
1371,7
1372,118
1373,3
1374,131
1375,28
1376,89
1377,133
1378,9
1379,13
1380,38
1381,16
1382,2
1383,5
1384,5
1385,19
1386,3
1387,97
1388,26
1389,47
1390,5
1391,17
1392,7
1393,33
1394,6
1395,6
1396,5
1397,9
1398,3
1399,72
1400,30
1401,36
1402,7
1403,7
1404,10
1405,1
1406,7
1407,8
1408,214
1409,8
1410,1
1411,52
1412,14
1413,24
1414,5
1415,27
1416,11
1417,2
1418,3
1419,5
1420,4
1421,12
1422,7
1423,3
1424,21
1425,3
1426,26
1427,28
1428,22
1429,53
1430,3
1431,41
1432,4
1433,35
1434,26
1435,11
1436,29
1437,2
1438,26
1439,30
1440,21
1441,4
1442,2
1443,12
1444,53
1445,21
1446,3
1447,8
1448,64
1449,4
1450,9
1451,24
1452,24
1453,14
1454,4
1455,19
1456,13
1457,17
1458,23
1459,48
1460,3
1461,6
1462,8
1463,32
1464,12
1465,12
1466,3
1467,41
1468,3
1469,47
1470,13
1471,44
1472,2
1473,2
1474,3
1475,3
1476,13
1477,3
1478,9
1479,13
1480,4
1481,83
1482,22
1483,2
1484,8
1485,1
1486,36
1487,16
1488,44
1489,155
1490,3
1491,3
1492,15
1493,1
1494,7
1495,14
1496,20
1497,12
1498,5
1499,289
1500,25
1501,8
1502,13
1503,10
1504,74
1505,11
1506,1
1507,16
1508,14
1509,11
1510,3
1511,31
1512,35
1513,1
1514,12
1515,5
1516,6
1517,11
1518,23
1519,24
1520,4
1521,5
1522,65
1523,8
1524,5
1525,16
1526,3
1527,13
1528,6
1529,26
1530,15
1531,22
1532,15
1533,1
1534,2
1535,5
1536,11
1537,11
1538,2
1539,1
1540,7
1541,3
1542,3
1543,15
1544,5
1545,52
1546,16
1547,65
1548,16
1549,5
1550,2
1551,22
1552,5
1553,26
1554,31
1555,5
1556,21
1557,12
1558,2
1559,214
1560,9
1561,9
1562,7
1563,5
1564,19
1565,35
1566,4
1567,10
1568,16
1569,8
1570,31
1571,6
1572,2
1573,7
1574,1
1575,7
1576,29
1577,6
1578,12
1579,13
1580,27
1581,2
1582,3
1583,15
1584,3
1585,6
1586,10
1587,3
1588,53
1589,44
1590,30
1591,3
1592,62
1593,3
1594,2
1595,7
1596,8
1597,14
1598,3
1599,9
1600,6
1601,10
1602,5
1603,6
1604,36
1605,6
1606,2
1607,18
1608,12
1609,20
1610,5
1611,6
1612,11
1613,3
1614,49
1615,3
1616,4
1617,29
1618,6
1619,16
1620,21
1621,13
1622,75
1623,33
1624,1
1625,1
1626,71
1627,3
1628,35
1629,3
1630,8
1631,5
1632,9
1633,8
1634,2
1635,5
1636,3
1637,2
1638,6
1639,19
1640,18
1641,3
1642,29
1643,48
1644,37
1645,9
1646,65
1647,3
1648,6
1649,19
1650,4
1651,8
1652,51
1653,7
1654,157
1655,14
1656,198
1657,3
1658,3
1659,3
1660,10
1661,11
1662,5
1663,26
1664,7
1665,8
1666,27
1667,7
1668,2
1669,10
1670,10
1671,13
1672,3
1673,35
1674,34
1675,2
1676,18
1677,27
1678,3
1679,15
1680,4
1681,7
1682,68
1683,18
1684,30
1685,30
1686,2
1687,22
1688,20
1689,7
1690,1
1691,2
1692,5
1693,11
1694,38
1695,3
1696,15
1697,44
1698,6
1699,6
1700,6
1701,2
1702,21
1703,7
1704,71
1705,16
1706,4
1707,30
1708,9
1709,13
1710,7
1711,4
1712,8
1713,4
1714,29
1715,46
1716,1
1717,2
1718,23
1719,24
1720,14
1721,94
1722,35
1723,35
1724,18
1725,29
1726,3
1727,109
1728,30
1729,2
1730,3
1731,11
1732,43
1733,78
1734,1
1735,11
1736,1
1737,17
1738,8
1739,17
1740,17
1741,14
1742,3
1743,2
1744,11
1745,11
1746,9
1747,34
1748,2
1749,13
1750,4
1751,17
1752,3
1753,5
1754,1
1755,20
1756,17
1757,79
1758,6
1759,5
1760,9
1761,11
1762,45
1763,4
1764,27
1765,5
1766,2
1767,10
1768,2
1769,9
1770,15
1771,9
1772,3
1773,17
1774,18
1775,1
1776,6
1777,3
1778,18
1779,3
1780,1
1781,10
1782,52
1783,1
1784,37
1785,4
1786,8
1787,15
1788,11
1789,73
1790,2
1791,4
1792,21
1793,3
1794,15
1795,3
1796,2
1797,5
1798,10
1799,11
1800,2
1801,3
1802,10
1803,2
1804,3
1805,87
1806,1
1807,3
1808,21
1809,8
1810,2
1811,42
1812,2
1813,1
1814,10
1815,8
1816,6
1817,8
1818,3
1819,19
1820,8
1821,1
1822,5
1823,5
1824,23
1825,19
1826,13
1827,16
1828,17
1829,9
1830,22
1831,2
1832,3
1833,20
1834,5
1835,14
1836,84
1837,30
1838,18
1839,146
1840,25
1841,7
1842,26
1843,6
1844,29
1845,15
1846,21
1847,1
1848,40
1849,60
1850,10
1851,39
1852,3
1853,27
1854,5
1855,6
1856,29
1857,89
1858,4
1859,1
1860,1
1861,1
1862,9
1863,9
1864,49
1865,4
1866,10
1867,46
1868,76
1869,1
1870,7
1871,7
1872,9
1873,18
1874,53
1875,16
1876,7
1877,28
1878,6
1879,3
1880,13
1881,6
1882,19
1883,19
1884,6
1885,23
1886,5
1887,9
1888,8
1889,2
1890,7
1891,5
1892,36
1893,8
1894,5
1895,12
1896,5
1897,33
1898,3
1899,2
1900,19
1901,18
1902,6
1903,4
1904,15
1905,3
1906,4
1907,9
1908,50
1909,1
1910,6
1911,4
1912,9
1913,132
1914,2
1915,13
1916,5
1917,3
1918,3
1919,3
1920,55
1921,27
1922,9
1923,3
1924,13
1925,10
1926,9
1927,20
1928,2
1929,9
1930,31
1931,13
1932,20
1933,468
1934,1
1935,26
1936,19
1937,12
1938,65
1939,3
1940,22
1941,13
1942,49
1943,14
1944,45
1945,7
1946,21
1947,73
1948,8
1949,18
1950,3
1951,7
1952,7
1953,26
1954,9
1955,17
1956,2
1957,16
1958,10
1959,1
1960,15
1961,6
1962,10
1963,131
1964,14
1965,11
1966,18
1967,62
1968,10
1969,67
1970,14
1971,11
1972,19
1973,4
1974,3
1975,11
1976,29
1977,35
1978,15
1979,6
1980,2
1981,13
1982,1
1983,13
1984,12
1985,30
1986,70
1987,7
1988,18
1989,28
1990,2
1991,6
1992,8
1993,17
1994,5
1995,14
1996,16
1997,21
1998,54
1999,24
2000,9
2001,13
2002,59
2003,2
2004,2
2005,30
2006,2
2007,42
2008,28
2009,10
2010,2
2011,41
2012,2
2013,4
2014,13
2015,12
2016,12
2017,1
2018,45
2019,7
2020,1
2021,18
2022,12
2023,2
2024,5
2025,5
2026,10
2027,2
2028,28
2029,6
2030,14
2031,5
2032,24
2033,2
2034,28
2035,5
2036,9
2037,11
2038,21
2039,15
2040,18
2041,33
2042,35
2043,4
2044,106
2045,10
2046,7
2047,28
2048,20
2049,4
2050,13
2051,1
2052,36
2053,2
2054,5
2055,21
2056,23
2057,6
2058,13
2059,11
2060,1
2061,3
2062,9
2063,42
2064,25
2065,3
2066,6
2067,2
2068,4
2069,55
2070,4
2071,13
2072,14
2073,9
2074,5
2075,11
2076,4
2077,36
2078,8
2079,16
2080,16
2081,8
2082,9
2083,7
2084,31
2085,24
2086,2
2087,57
2088,3
2089,8
2090,9
2091,17
2092,13
2093,16
2094,1
2095,8
2096,20
2097,15
2098,1
2099,51
2100,42
2101,2
2102,3
2103,17
2104,23
2105,35
2106,21
2107,16
2108,29
2109,95
2110,4
2111,2
2112,17
2113,2
2114,40
2115,19
2116,11
2117,5
2118,7
2119,1
2120,1
2121,2
2122,8
2123,24
2124,16
2125,26
2126,23
2127,4
2128,11
2129,15
2130,9
2131,5
2132,3
2133,56
2134,11
2135,5
2136,64
2137,7
2138,9
2139,23
2140,21
2141,14
2142,1
2143,10
2144,25
2145,9
2146,3
2147,5
2148,6
2149,4
2150,85
2151,15
2152,4
2153,13
2154,13
2155,23
2156,69
2157,14
2158,5
2159,16
2160,6
2161,1
2162,8
2163,9
2164,13
2165,7
2166,40
2167,6
2168,4
2169,3
2170,48
2171,8
2172,11
2173,82
2174,11
2175,6
2176,3
2177,4
2178,34
2179,4
2180,1
2181,14
2182,66
2183,21
2184,7
2185,85
2186,6
2187,4
2188,18
2189,4
2190,35
2191,15
2192,28
2193,2
2194,2
2195,5
2196,4
2197,9
2198,3
2199,57
2200,4
2201,13
2202,46
2203,31
2204,1
2205,4
2206,8
2207,18
2208,7
2209,10
2210,3
